"a","s","l"
"RevEnvironContamToxicol","Rev. Environ. Contam. Toxicol.","Reviews of Environmental Contamination and Toxicology"
"RevInfectDis","Rev. Infect. Dis.","Reviews of Infectious Diseases"
"RevOculomotRes","Rev. Oculomot. Res.","Reviews of Oculomotor Research"
"RevPhysiolBiochemPharmacol","Rev. Physiol. Biochem. Pharmacol.","Reviews of Physiology Biochemistry and Pharmacology"
"RevReprod","Rev. Reprod.","Reviews of Reproduction"
"RevEnvironHealth","Rev. Environ. Health","Reviews on Environmental Health"
"RevisBiolCelular","Revis. Biol. Celular","Revisiones Sobre Biologia Celular"
"RevAlergMex","Rev. Alerg. Mex.","Revista Alergia Mexico"
"RevArgentMicrobiol","Rev. Argent. Microbiol.","Revista Argentina de Microbiologia"
"RevBrasBiol","Rev. Bras. Biol.","Revista Brasileira de Biologia"
"RevBrasMalariolDoencasTrop","Rev. Bras. Malariol. Doencas Trop.","Revista Brasileira de Malaiologia e Doencas Tropicais"
"RevChilHistoNat","Rev. Chil. Hist. Nat.","Revista Chilena de Historia Natural"
"RevChilObstetGinecol","Rev. Chil. Obstet. Ginecol.","Revista Chilena de Obstetrica Y Ginecologia"
"RevChilPediatr","Rev. Chil. Pediatr.","Revista Chilena de Pediatria"
"RevClinEsp","Rev. Clin. Esp.","Revista Clinica Espanola"
"RevCubanaMedTrop","Rev. Cubana Med. Trop.","Revista Cubana de Medicina Tropical"
"RevSocBrasMedTrop","Rev. Soc. Bras. Med. Trop.","Revista da Sociedade Brasileira de Medicina Tropical"
"RevBiolTrop","Rev. Biol. Trop.","Revista de Biologia Tropical"
"RevChirChir","Rev. Chir. [Chir.]","Revista de Chirurgie, Oncologie, Radiologie, O.R.L., Oftamologie, Stomatologie. Chirurgie"
"RevGastroenterolMex","Rev. Gastroenterol. Mex.","Revista de Gastroenterologia de Mexico"
"RevGastroenterolPeru","Rev. Gastroenterol. Peru","Revista de Gastroenterologia del Peru"
"RevIgBacteriol","Rev. Ig. [Bacteriol.]","Revista de Igiena, Bacteriologie, Virusologie, Parazitologie, Epidemiologie, Pneumoftiziologie, Bacteriologia, Virusologia, Parazitologia, Epidemiologia"
"RevInvestClin","Rev. Invest. Clin.","Revista de Investigacion Clinica"
"RevFacCienMedUnivNacCordoba","Rev. Fac. Cien. Med. Univ. Nac. Cordoba","Revista de la Facultad de Ciencias Medicas/ Universidad Nacional de Cordoba"
"RevMedUnivNavarra","Rev. Med. Univ. Navarra","Revista de Medicina de la Universidad de Navarra"
"RevMedInternaMedInterna","Rev. Med. Interna [Med. Interna]","Revista de Medicina Interna, Neurologie, Psihiatrie, Neurochirugie, Dermato-Venerologie. Seria: Medicina Interna"
"RevSanidHigPublicaMedr","Rev. Sanid. Hig. Publica","Revista de Sanidad E Higiene Publica"
"RevSaudePublica","Rev. Saude Publica","Revista de Saude Publica"
"RevHospClinFacMedSaoPaulo","Rev. Hosp. Clin. Fac. Med. Sao Paulo","Revista do Hospital das Clinicas; Faculdade de Medicina da Universidade de Sao Paulo"
"RevInstMedTropSaoPaulo","Rev. Inst. Med. Trop. Sao Paulo","Revista do Instituto de Medicina Tropical de Sao Paulo"
"RevEquatHygTropMed","Rev. Equat. Hyg. Trop. Med.","Revista Equatoriana de Hygiene y Tropicale Medicina"
"RevEquatNeurol","Rev. Equat. Neurol.","Revista Equatoriana de Neurologia"
"RevEspAnestesiolReanim","Rev. Esp. Anestesiol. Reanim.","Revista Espanola de Anestesiologia Y Reanimacion"
"RevEspCardiol","Rev. Esp. Cardiol.","Revista Espanola de Cardiologia"
"RevEspEnfermDig","Rev. Esp. Enferm. Dig.","Revista Espanola de Enfermedades Digestivas"
"RevEspFisiol","Rev. Esp. Fisiol.","Revista Espanola de Fisiologia"
"RevEspOncol","Rev. Esp. Oncol.","Revista Espanola de Oncologia"
"RevLatinoamMicrobiol","Rev. Latinoam. Microbiol.","Revista Latinoamericana de Microbiologia"
"RevMedChil","Rev. Med. Chil.","Revista Medica de Chile"
"RevMedPanama","Rev. Med. Panama","Revista Medica de Panama"
"RevMedChirSocMedNatIasi","Rev. Med. Chir. Soc. Med. Nat. Iasi","Revista Medico-Chiruricala A Societatii de Medici si Naturalisti Din Iasi"
"RevPaulMed","Rev. Paul. Med.","Revista Paulista de Medicina"
"RevPortCardiol","Rev. Port. Cardiol.","Revista Portuguesa de Cardiologia"
"RevBelgeMedDent","Rev. Belge Med. Dent.","Revue Belge de Medecine Dentaire"
"RevElevMedVetPaysTrop","Rev. Elev. Med. Vet. Pays Trop.","Revue d Elevage et de Medecine Veterinaire des Pays Tropicaux"
"RevEpidemiolSantePublique","Rev. Epidemiol. Sante Publique","Revue d Epidemiologie et de Sante Publique"
"RevHistPharm","Rev. Hist. Pharm.","Revue d'Histoire de la Pharmacie"
"RevChirOrthop","Rev. Chir. Orthop.","Revue de Chirurgie Orthopedique et Reparatrice de l Appareil Moteur"
"RevLaryngolOtolRhinolBord","Rev. Laryngol. Otol. Rhinol.","Revue de Laryngologie Otologie Rhinologie"
"RevMedInterne","Rev. Med. Interne","Revue de Medecine Interne"
"RevPneumolClin","Rev. Pneumol. Clin.","Revue de Pneumologie Clinique"
"RevStomatolChirMaxillofac","Rev. Stomatol Chir. Maxillofac.","Revue de Stomatologie et de Chirurgie Maxillo-Faciale"
"RevMalRespir","Rev. Mal. Respir.","Revue des Maladies Respiratoires"
"RevRhumMalOsteoartic","Rev. Rhum. Mal. Osteoartic.","Revue du Rhumatisme et des Maladies Osteo- Articulaires"
"RevFrGynecolObstet","Rev. Fr. Gynecol. Obstet.","Revue Francaise de Gynecologie et d Obstetrique"
"RevFrTransfusHemobiol","Rev. Fr. Transfus. Hemobiol.","Revue Francaise de Transfusion et d Hemobiologie"
"RevIntTrachPalOcTropSubSantePub","Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop. Sante Publique","Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale et de Sante Publique"
"RevMedBrux","Rev. Med. Brux.","Revue Medicale de Bruxelles"
"RevMedSuisseRomande","Rev. Med. Suisse Romande","Revue Medicale de la Suisse Romande"
"RevMedLiege","Rev. Med. Liege","Revue Medicale de Liege"
"RevNeurolParis","Rev. Neurol.","Revue Neurologique"
"RevRoumEmbryol","Rev. Roum. Embryol.","Revue Roumaine d'Embryologie"
"RevRoumEndocrinol","Rev. Roum. Endocrinol.","Revue Roumaine d'Endocrinologie"
"RevRoumInframicrobiol","Rev. Roum. Inframicrobiol.","Revue Roumaine d'Inframicrobiologie"
"RevRoumBiochim","Rev. Roum. Biochim.","Revue Roumaine de Biochimie"
"RevRoumMorpholEmbryol","Rev. Roum. Morphol. Embryol.","Revue Roumaine de Morphologie et d'Embryologie"
"RevRoumMorpholPhysiol","Rev. Roum. Morphol. Physiol.","Revue Roumaine de Morphologie et de Physiologie"
"RevRoumNeurol","Rev. Roum. Neurol.","Revue Roumaine de Neurologie"
"RevRoumNeurolPsychiatr","Rev. Roum. Neurol. Psychiatr.","Revue Roumaine de Neurologie et de Psychiatrie"
"RevRoumParasitol","Rev. Roum. Parasitol.","Revue Roumaine de Parasitologie"
"RevRoumPhysiol","Rev. Roum. Physiol.","Revue Roumaine de Physiologie"
"RevRoumVirol","Rev. Roum. Virol.","Revue Roumaine de Virologie"
"RevSciTech","Rev. Sci. Tech.","Revue Scientifique et Technique"
"RevSuisseViticArboricHortic","Rev. Suisse Vitic. Arboric. Hortic.","Revue suisse de viticulture, arboriculture, horticulture"
"RheumDisClinNorthAm","Rheum. Dis. Clin. North Am.","Rheumatic Diseases Clinics of North America"
"RheumatolInt","Rheumatol. Int.","Rheumatology International"
"Rhinology","Rhinology","Rhinology"
"RhinolSuppl","Rhinol. Suppl.","Rhinology. Supplement"
"RIMedJ","R. I. Med. J.","Rhode Island Medical Journal"
"RinshoByori","Rinsho Byori","Rinsho Byori. Japanese Journal of Clinical Pathology"
"RinshoKetsueki","Rinsho Ketsueki","Rinsho Ketsueki. Japanese Journal of Clinical Hematology"
"RinshoShinkeigaku","Rinsho Shinkeigaku","Rinsho Shinkeigaku. Clinical Neurology"
"RiskAnal","Risk Anal.","Risk Analysis"
"RivBiolBiol.Forum","Riv. Biol./Biol. Forum","Rivista di Biologia/Biology Forum"
"RivNeurol","Riv. Neurol.","Rivista di Neurologia"
"RivEurSciMedFarmacol","Riv. Eur. Sci. Med. Farmacol.","Rivista Europea Per le Scienze Mediche E Farmacologiche"
"RNA","RNA","RNA"
"RoczAkadMedImJuliMchBiaSuppl","Rocz. Akad. Med. Im. Juliana Marchlewskiego Bialymst. Suppl.","Roczniki Akademii Medycznej Im. Juliana Marchlewskiego W Bialymstoku. Supplement"
"RoczAkadMedBialymst","Rocz. Akad. Med. Bialymst.","Roczniki Akademii Medycznej W Bialymstoku"
"RoczPantswZaklHig","Rocz. Pantsw. Zakl. Hig.","Roczniki Pantswowego Zakladu Higieny"
"RofoFortschrGebRonNeuBildVerf","Rofo Fortschr. Geb. Rontgenstr. Neuen. Bildgeb. Verfahr.","ROFO. Fortschritte auf dem Gebiete der Rontgenstrahlen und der Neuen Bildgebenden Verfahren"
"RomJMorpholEmbryol","Rom. J. Morphol. Embryol.","Romanian Journal of Morphology and Embryology"
"RomJNeurolPsychiatry","Rom. J. Neurol. Psychiatry","Romanian Journal of Neurology and Psychiatry"
"Rontgenpraxis","Rontgenpraxis","Rontgenpraxis"
"RossFiziolZhImIMSechenova","Ross. Fiziol. Zh. Im. I. M. Sechenova","Rossiiskii fiziologicheskii zhurnal imeni I.M. Sechenova / Rossiiskaia akademiia"
"RoumArchMicrobiolImmunol","Roum. Arch. Microbiol. Immunol.","Roumanian Archives of Microbiology and Immunology"
"RozhlChir","Rozhl. Chir.","Rozhledy V Chirurgii"
"RussJEcol","Russ. J. Ecol.","Russian Journal of Ecology"
"Ryumachi","Ryumachi","Ryumachi"
"SABRAOJ","SABRAO J","SABRAO Journal"
"SaludPublicaMex","Salud Publica Mex.","Salud Publica de Mexico"
"SangreBarc","Sangre","Sangre"
"SangyoIgaku","Sangyo Igaku","Sangyo Igaku. Japanese Journal of Industrial Health"
"SangyoIkaDaigakuZasshi","Sangyo Ika Daigaku Zasshi","Sangyo Ika Daigaku Zasshi"
"SantePubliqueBucur","Sante Publique","Sante Publique"
"Sarsia","Sarsia","Sarsia"
"SbLek","Sb. Lek.","Sbornik Lekarsky"
"SbVedPrLekFakKarUniHradciKral","Sb. Ved. Pr. Lek. Fak. Karlovy Univerzity Hradci Kralove","Sbornik Vedeckych Praci Lekarske Fakulty Karlovy Univerzity V Hradci Kralove"
"SbVedPrLekFakKarUniHradciKralSuppl","Sb. Ved. Pr. Lek. Fak. Karlovy Univerzity Hradci Kralove Suppl.","Sbornik Vedeckych Praci Lekarske Fakulty Karlovy Univerzity V Hradci Kralove. Supplementum"
"ScandAudiol","Scand. Audiol.","Scandinavian Audiology"
"ScandAudiolSuppl","Scand. Audiol. Suppl.","Scandinavian Audiology. Supplementum"
"ScandJRheumatol","Scand. J. Rheumatol.","Scandinavian Jouranl of Rheumatology"
"ScandJClinLabInvest","Scand. J. Clin. Lab. Invest.","Scandinavian Journal of Clinical and Laboratory Investigation"
"ScandJClinLabInvestSuppl","Scand. J. Clin. Lab. Invest. Suppl.","Scandinavian Journal of Clinical and Laboratory Investigation. Supplement"
"ScandJDentRes","Scand. J. Dent. Res.","Scandinavian Journal of Dental Research"
"ScandJEcon","Scand. J. Econ.","Scandinavian Journal of Economics"
"ScandJGastroenterol","Scand. J. Gastroenterol.","Scandinavian Journal of Gastroenterology"
"ScandJGastroenterolSuppl","Scand. J. Gastroenterol. Suppl.","Scandinavian Journal of Gastroenterology. Supplement"
"ScandJImmunol","Scand. J. Immunol.","Scandinavian Journal of Immunology"
"ScandJInfectDis","Scand. J. Infect. Dis.","Scandinavian Journal of Infectious Diseases"
"ScandJInfectDisSuppl","Scand. J. Infect. Dis. Suppl.","Scandinavian Journal of Infectious Diseases. Supplementum"
"ScandJMedSciSports","Scand. J. Med. Sci. Sports","Scandinavian Journal of Medicine & Science in Sports"
"ScandJPlastReconstrSurgHandSurg","Scand. J. Plast. Reconstr. Surg. Hand Surg.","Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery"
"ScandJPrimHealthCare","Scand. J. Prim. Health Care","Scandinavian Journal of Primary Health Care"
"ScandJPrimHealthCareSuppl","Scand. J. Prim. Health Care Suppl.","Scandinavian Journal of Primary Health Care. Supplement"
"ScandJPsychol","Scand. J. Psychol.","Scandinavian Journal of Psychology"
"ScandJRehabilMed","Scand. J. Rehabil. Med.","Scandinavian Journal of Rehabilitation Medicine"
"ScandJRehabilMedSuppl","Scand. J. Rehabil. Med. Suppl.","Scandinavian Journal of Rehabilitation Medicine. Supplement"
"ScandJRheumatolSuppl","Scand. J. Rheumatol. Suppl.","Scandinavian Journal of Rheumatology. Supplement"
"ScandJSocMed","Scand. J. Soc. Med.","Scandinavian Journal of Social Medicine"
"ScandJSocMedSuppl","Scand. J. Soc. Med. Suppl.","Scandinavian Journal of Social Medicine. Supplementum"
"ScandJStatist","Scand. J. Statist.","Scandinavian Journal of Statistics"
"ScandJThoracCardiovascSurg","Scand. J. Thorac. Cardiovasc. Surg.","Scandinavian Journal of Thoracic and Cardiovascular Surgery"
"ScandJThoracCardiovascSurgSuppl","Scand. J. Thorac. Cardiovasc. Surg. Suppl.","Scandinavian Journal of Thoracic and Cardiovascular Surgery. Supplementum"
"ScandJUrolNephrol","Scand. J. Urol. Nephrol.","Scandinavian Journal of Urology and Nephrology"
"ScandJUrolNephrolSuppl","Scand. J. Urol. Nephrol. Suppl.","Scandinavian Journal of Urology and Nephrology. Supplementum"
"ScandJWorkEnvironHealth","Scand. J. Work Environ. Health","Scandinavian Journal of Work, Environment and Health"
"ScanningMicrosc","Scanning Microsc.","Scanning Microscopy"
"ScanningMicroscSuppl","Scanning Microsc. Suppl.","Scanning Microscopy. Supplement"
"SchizophrBull","Schizophr. Bull.","Schizophrenia Bulletin"
"SchizophrRes","Schizophr. Res.","Schizophrenia Research"
"SchriftenrVerWasserBodenLufthyg","Schriftenr. Ver. Wasser Boden Lufthyg.","Schriftenreihe des Vereins fur Wasser-, Boden-, und Lufthygiene"
"SchriftenrNeurol","Schriftenr. Neurol.","Schriftenreihe Neurologie. Neurology Series"
"SchweizArchNeurolPsychiatr","Schweiz. Arch. Neurol. Psychiatr.","Schweizer Archiv fur Neurologie und Psychiatrie"
"SchweizArchTierhailkd","Schweiz. Arch. Tierhailkd.","Schweizer Archiv fur Tierheilkunde"
"SchweizMonatsschrZahnmed","Schweiz. Monatsschr. Zahnmed.","Schweizer Monatsschrift fur Zahnmedizin"
"SchweizMedWochenschr","Schweiz. Med. Wochenschr.","Schweizerische Medizinische Wochenschrift. Journal Suisse de Medecine"
"Science","Science","Science"
"SciPractPerspect","Sci. Pract. Perspect.","Science & Practice Perspectives"
"SciSports","Sci. Sports","Science & Sports"
"SciTotalEnviron","Sci. Total Environ.","Science of the Total Environment"
"SciSTKE","Sci. STKE","Science STKE [Signal Transduction Knowledge Environment]"
"SciHort","Sci. Hort.","Scientia Horticulturae"
"SciMar","Sci. Mar.","Scientia Marina"
"SciAm","Sci. Am.","Scientific American"
"SePu","Se Pu","Se pu (Chinese journal of chromatography / Zhongguo hua xue hui)"
"AJCN","AJCN","see Am J Clin Nutr"
"NEJM","NEJM","see N Engl J Med"
"Selbyana","Selbyana","Selbyana"
"SemArthroplasty","Sem. Arthroplasty","Seminars in Arthroplasty"
"SemCancerBiol","Sem. Cancer Biol.","Seminars in Cancer Biology"
"SemCellDevBiol","Sem. Cell Dev. Biol.","Seminars in Cell and Developmental Biology"
"SemCellBiol","Sem. Cell Biol.","Seminars in Cell Biology"
"SeminDiagnPathol","Semin. Diagn. Pathol.","Seminars in Diagnostic Pathology"
"SemDialysis","Sem. Dialysis","Seminars in Dialysis"
"SemHematol","Sem. Hematol.","Seminars in Hematology"
"SemImmunol","Sem. Immunol.","Seminars in Immunology"
"SemNephrol","Sem. Nephrol.","Seminars in Nephrology"
"SemNeurosci","Sem. Neurosci.","Seminars in the Neurosciences"
"SeminThrombHemost","Semin. Thromb. Hemost.","Seminars in Thrombosis and Hemostasis"
"SemVirol","Sem. Virol.","Seminars in Virology"
"Senckbiol","Senck. Biol.","Senckenbergiana biologica"
"Senckleth","Senck. Leth.","Senckenbergiana lethaea"
"Senckmarit","Senck. Marit.","Senckenbergiana maritima"
"SexTransmDis","Sex Transm. Dis.","Sexually Transmitted Diseases"
"ShengLiKeXueJinZhan","Sheng Li Ke Xue Jin Zhan","Sheng Li Ke Xue Jin Zhan [Progress in physiology]"
"SEMJ","SEMJ","Shiraz Electronic Medical Journal"
"Shock","Shock","Shock"
"SIAMJMathAnal","SIAM J. Math. Anal.","SIAM Journal of Mathematical Analysis"
"SIAMRev","SIAM Rev.","SIAM Review"
"SilvaFennica","Silva Fennica","Silva Fennica"
"SkinPharmacolApplSkinPhysiol","Skin Pharmacol Appl. Skin Physiol.","Skin Pharmacology and Applied Skin Physiology"
"SkinPharmacolPhysiol","Skin Pharmacol. Physiol.","Skin Pharmacology and Physiology"
"SkinPharmacol","Skin Pharmacol.","Skin Pharmacology: The Official Journal of the Skin Pharmacology Society"
"SlovVetRes","Slov. Vet. Res.","Slovenian Veterinary Research"
"SmallRuminantRes","Small Ruminant Res.","Small Ruminant Research"
"SocIndicRes","Soc. Indic. Res.","Social Indicators Research"
"SocPsychiatryPsychiatrEpidemiolE","Soc. Psychiatry Psychiatr. Epidemiol. Res.","Social Psychiatry and Psychiatric Epidemiology"
"SocSciMed","Soc. Sci. Med.","Social Science and Medicine"
"SocEpidemiolResE","Soc. Epidemiol. Res.","Society for Epidemiologic Research"
"SoilTillageRes","Soil Tillage Res.","Soil & Tillage Research"
"SoilBiolBiochem","Soil Biol. Biochem.","Soil Biology and Biochemistry"
"SoilSci","Soil Sci.","Soil Science"
"SoilSciPlantNutr","Soil Sci. Plant Nutr.","Soil Science and Plant Nutrition"
"SoilSciAmJ","Soil Sci. Soc. Am. J.","Soil Science Society of America Journal"
"SoilSciAmP","Soil Sci. Soc. Am. Proc.","Soil Science Society of America Proceedings"
"SAfrJMarSci","S. Afr. J. Mar. Sci.","South African Journal of Marine Science"
"SAMJ","SAMJ","South African Medical Journal"
"SoutheastAsianJTropMedPublicHealth","Southeast Asian J. Trop. Med. Public Health","Southeast Asian Journal of Tropical Medicine and Public Health"
"SouthMedJ","South Med. J.","Southern Medical Journal"
"spcbeche","SPC Beche-de-mer Information Bulletin","SPC Beche-de-mer Information Bulletin"
"SriLankaJAquSci","Sri Lanka J. Aquat. Sci.","Sri Lanka Journal of Aquatic Science"
"StatSinica","Stat. Sinica","Statistica Sinica"
"SB","SB","Statistical Bulletin/ Metropolitan Insurance Companies"
"StatSci","Stat. Sci.","Statistical Science"
"StatistComput","Statist. Comput.","Statistics and Computing"
"StatistMed","Statist. Med.","Statistics in Medicine"
"Steenstrupia","Steenstrupia","Steenstrupia"
"StemCells","Stem Cells","Stem Cells"
"Steroids","Steroids","Steroids"
"Stress","Stress","Stress"
"StressMed","Stress Med.","Stress Medicine"
"Stroke","Stroke","Stroke"
"StruEquaModeling","Stru. Equa. Modeling","Structral Equation Modeling"
"Structure","Structure","Structure"
"StudHealthTechnolInform","Stud. Health Technol. Inform.","Studies in Health and Technology Informatics"
"StudInformControl","Stud. Inform. Control","Studies in Informatics and Control"
"SubstUseMisuse","Subst. Use Misuse","Substance Use and Misuse"
"SFP","SFP","Suchtmedizin in Forschung und Praxis"
"SummaPhytopathol","Summa Phytopathol.","Summa Phytopathologica"
"SurgGynecolObstet","Surg. Gynecol. Obstet.","Surgery, Gynecology & Obstetrics"
"SurgRadiolAnat","Surg. Radiol. Anat.","Surgical and Radiologic Anatomy"
"SurgClinNorthAm","Surg. Clin. North Am.","Surgical Clinics of North America"
"SurgLaparoscEndoscPercutanTech","Surg. Laparosc. Endosc. Percutan. Tech.","Surgical Laparoscopy, Endoscopy & Percutaneous Techniques"
"SurgOncol","Surg. Oncol.","Surgical Oncology"
